,Year,intersection,health,climate
0,2011,0.7692307692307693,8.384615384615385,6.0
1,2012,0.0,13.333333333333334,2.75
2,2013,0.10526315789473684,17.94736842105263,2.789473684210526
3,2014,0.8666666666666667,62.93333333333333,8.2
4,2015,1.0,30.294117647058822,2.823529411764706
5,2016,0.5789473684210527,21.157894736842106,3.526315789473684
6,2017,0.7272727272727273,19.757575757575758,4.0
7,2018,0.29411764705882354,20.441176470588236,2.6470588235294117
8,2019,0.13725490196078433,14.901960784313726,2.372549019607843
9,2020,0.06521739130434782,15.282608695652174,2.0
10,2021,0.8225806451612904,32.83870967741935,5.096774193548387
