,Sector,intersection,health,climate
0,Alternative Energy,0.0,15.0,4.0
1,Banks,0.83,71.33,18.17
2,Beverages,4.0,54.0,2.0
3,Chemicals,0.0,10.0,1.5
4,Construction & Materials,2.5,32.5,2.5
5,Diversified,0.06,21.17,1.67
6,Financial Services,0.0,19.62,1.12
7,Fixed Line Telecommunications,0.0,24.0,1.0
8,Food Producers,1.57,67.86,8.29
9,General Industrials,0.0,7.5,1.0
10,Health Care Equipment & Ser...,11.0,31.0,10.0
11,Industrial Metals & Mining,4.0,124.0,32.0
12,Industrial Transportation,0.0,8.0,0.0
13,Nonlife Insurance,0.0,7.5,4.0
14,Oil & Gas Producers,0.0,5.0,0.0
15,Personal Goods,0.0,14.0,0.0
16,Pharmaceuticals & Biotechno...,1.67,28.0,2.0
17,Support Services,1.0,36.33,12.0
18,Travel & Leisure,2.0,12.0,1.0
