,Sector,intersection,climate,health
0,Alternative Energy,0.0,12.0,43.0
1,Automobiles & Parts,0.0,0.0,3.0
2,Banks,23.0,262.0,1083.0
3,Beverages,18.0,54.0,231.0
4,Chemicals,0.0,3.0,33.0
5,Construction & Materials,7.0,44.0,625.0
6,Diversified,4.0,50.0,611.0
7,Electricity,0.0,6.0,57.0
8,Financial Services,1.0,45.0,353.0
9,Fixed Line Telecommunications,0.0,3.0,43.0
10,Food Producers,46.0,152.0,1997.0
11,"Gas, Water & Multiutilities",0.0,0.0,13.0
12,General Industrials,0.0,3.0,48.0
13,Health Care Equipment & Ser...,11.0,10.0,31.0
14,Industrial Metals & Mining,4.0,42.0,170.0
15,Industrial Transportation,0.0,0.0,51.0
16,Life Insurance,0.0,0.0,13.0
17,Media,0.0,3.0,50.0
18,Mobile Telecommunications,2.0,39.0,47.0
19,Nonlife Insurance,3.0,184.0,550.0
20,Not Applicable,8.0,15.0,13.0
21,Oil & Gas Producers,8.0,62.0,525.0
22,"Oil Equipment, Services & D...",0.0,30.0,142.0
23,Personal Goods,1.0,13.0,75.0
24,Pharmaceuticals & Biotechno...,5.0,8.0,127.0
25,Support Services,5.0,112.0,354.0
26,Travel & Leisure,2.0,1.0,29.0
