,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.85,1.0,0.77
1,2012,HIGH HUMAN DEVELOPMENT,0.58,0.67,0.0
2,2013,HIGH HUMAN DEVELOPMENT,0.58,0.68,0.05
3,2014,HIGH HUMAN DEVELOPMENT,0.53,0.93,0.13
4,2015,HIGH HUMAN DEVELOPMENT,0.65,0.82,0.18
5,2016,HIGH HUMAN DEVELOPMENT,0.53,0.89,0.16
6,2017,HIGH HUMAN DEVELOPMENT,0.45,0.88,0.15
7,2018,HIGH HUMAN DEVELOPMENT,0.47,0.79,0.15
8,2019,HIGH HUMAN DEVELOPMENT,0.49,0.76,0.1
9,2020,HIGH HUMAN DEVELOPMENT,0.57,0.87,0.07
10,2021,HIGH HUMAN DEVELOPMENT,0.63,0.84,0.24
