,HDI,Year,intersection,climate,health,sum
0,HIGH HUMAN DEVELOPMENT,2011,24.0,197.0,979.0,1200.0
1,HIGH HUMAN DEVELOPMENT,2012,18.0,235.0,1669.0,1922.0
2,HIGH HUMAN DEVELOPMENT,2013,21.0,302.0,1931.0,2254.0
3,HIGH HUMAN DEVELOPMENT,2014,20.0,326.0,1586.0,1932.0
4,HIGH HUMAN DEVELOPMENT,2015,18.0,266.0,1032.0,1316.0
5,HIGH HUMAN DEVELOPMENT,2016,32.0,275.0,1193.0,1500.0
6,HIGH HUMAN DEVELOPMENT,2017,19.0,250.0,1295.0,1564.0
7,HIGH HUMAN DEVELOPMENT,2018,10.0,90.0,879.0,979.0
8,HIGH HUMAN DEVELOPMENT,2019,7.0,133.0,854.0,994.0
9,HIGH HUMAN DEVELOPMENT,2020,5.0,99.0,680.0,784.0
10,HIGH HUMAN DEVELOPMENT,2021,60.0,336.0,1848.0,2244.0
