,Sector,intersection,climate,health
0,Banks,13.0,244.0,705.0
1,Beverages,0.0,39.0,127.0
2,Construction & Materials,23.0,239.0,1629.0
3,Diversified,0.0,2.0,51.0
4,Electricity,102.0,699.0,3185.0
5,Electronic & Electrical Equ...,1.0,15.0,22.0
6,Financial Services,7.0,210.0,207.0
7,Fixed Line Telecommunications,6.0,75.0,198.0
8,Food Producers,19.0,257.0,1782.0
9,"Gas, Water & Multiutilities",7.0,41.0,174.0
10,General Industrials,7.0,152.0,748.0
11,General Retailers,13.0,96.0,554.0
12,Industrial Metals & Mining,3.0,85.0,1329.0
13,Industrial Transportation,1.0,14.0,95.0
14,Life Insurance,5.0,69.0,181.0
15,Media,1.0,7.0,162.0
16,Mining,4.0,36.0,248.0
17,Mobile Telecommunications,5.0,41.0,222.0
18,Nonlife Insurance,8.0,62.0,608.0
19,Not Applicable,5.0,32.0,440.0
20,Oil & Gas Producers,1.0,27.0,227.0
21,Personal Goods,1.0,8.0,65.0
22,Pharmaceuticals & Biotechno...,2.0,4.0,87.0
23,Real Estate Investment & Se...,0.0,11.0,55.0
24,Support Services,0.0,30.0,836.0
25,Technology Hardware & Equip...,0.0,0.0,1.0
26,Travel & Leisure,0.0,14.0,8.0
