,HDI,Year,intersection,climate,health,sum
0,HIGH HUMAN DEVELOPMENT,2011,0.0,7.0,215.0,222.0
1,HIGH HUMAN DEVELOPMENT,2012,0.0,40.0,232.0,272.0
2,HIGH HUMAN DEVELOPMENT,2013,3.0,23.0,149.0,175.0
3,HIGH HUMAN DEVELOPMENT,2014,0.0,15.0,213.0,228.0
4,HIGH HUMAN DEVELOPMENT,2015,0.0,14.0,110.0,124.0
5,HIGH HUMAN DEVELOPMENT,2016,0.0,28.0,108.0,136.0
6,HIGH HUMAN DEVELOPMENT,2017,0.0,24.0,85.0,109.0
7,HIGH HUMAN DEVELOPMENT,2018,3.0,51.0,259.0,313.0
8,HIGH HUMAN DEVELOPMENT,2019,7.0,24.0,125.0,156.0
9,HIGH HUMAN DEVELOPMENT,2020,2.0,31.0,173.0,206.0
10,HIGH HUMAN DEVELOPMENT,2021,30.0,117.0,738.0,885.0
