,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.5,1.0,0.0
1,2012,HIGH HUMAN DEVELOPMENT,0.71,0.86,0.0
2,2013,HIGH HUMAN DEVELOPMENT,0.57,0.71,0.29
3,2014,HIGH HUMAN DEVELOPMENT,0.6,0.8,0.0
4,2015,HIGH HUMAN DEVELOPMENT,0.75,0.75,0.0
5,2016,HIGH HUMAN DEVELOPMENT,0.33,0.67,0.0
6,2017,HIGH HUMAN DEVELOPMENT,0.4,0.6,0.0
7,2018,HIGH HUMAN DEVELOPMENT,0.64,0.73,0.18
8,2019,HIGH HUMAN DEVELOPMENT,0.6,0.6,0.2
9,2020,HIGH HUMAN DEVELOPMENT,1.0,1.0,0.33
10,2021,HIGH HUMAN DEVELOPMENT,0.9,0.9,0.5
