,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.68,1.0,0.32,2021
1,Alternative Energy,0.78,0.89,0.22,2021
2,Automobiles & Parts,0.23,0.77,0.15,2021
3,Banks,0.58,0.79,0.16,2021
4,Beverages,1.0,1.0,0.5,2021
5,Chemicals,0.47,0.9,0.12,2021
6,Construction & Materials,0.39,0.88,0.07,2021
7,Diversified,0.37,0.78,0.15,2021
8,Electricity,0.79,0.92,0.22,2021
9,Electronic & Electrical Equ...,0.75,1.0,0.08,2021
10,Equity Investment Instruments,1.0,1.0,0.0,2021
11,Financial Services,0.73,0.92,0.21,2021
12,Fixed Line Telecommunications,0.9,1.0,0.6,2021
13,Food & Drug Retailers,1.0,1.0,1.0,2021
14,Food Producers,0.59,0.91,0.21,2021
15,Forestry & Paper,0.71,0.86,0.23,2021
16,"Gas, Water & Multiutilities",0.68,0.79,0.26,2021
17,General Industrials,0.39,0.8,0.09,2021
18,General Retailers,0.6,0.86,0.21,2021
19,Health Care Equipment & Ser...,0.38,0.87,0.12,2021
20,Household Goods & Home Cons...,0.9,1.0,0.5,2021
21,Industrial Engineering,0.19,0.81,0.05,2021
22,Industrial Metals & Mining,0.81,0.89,0.32,2021
23,Industrial Transportation,0.51,0.68,0.16,2021
24,Life Insurance,0.54,0.92,0.23,2021
25,Media,0.31,0.79,0.03,2021
26,Mining,0.0,0.5,0.0,2021
27,Mobile Telecommunications,0.76,0.86,0.43,2021
28,Nonequity Investment Instru...,1.0,1.0,0.75,2021
29,Nonlife Insurance,0.5,1.0,0.5,2021
30,Not Applicable,0.3,0.65,0.05,2021
31,Oil & Gas Producers,0.86,0.86,0.29,2021
32,"Oil Equipment, Services & D...",0.64,0.73,0.45,2021
33,Personal Goods,0.8,0.95,0.1,2021
34,Pharmaceuticals & Biotechno...,0.57,0.96,0.26,2021
35,Real Estate Investment & Se...,0.16,0.53,0.05,2021
36,Software & Computer Services,0.22,0.68,0.05,2021
37,Support Services,0.43,0.81,0.06,2021
38,Technology Hardware & Equip...,0.47,0.71,0.06,2021
39,Tobacco,1.0,1.0,0.0,2021
40,Travel & Leisure,0.27,0.81,0.12,2021
