,HDI,Year,intersection,climate,health,sum,Sector
0,VERY HIGH HUMAN DEVELOPMENT,2011,0.0,1.0,42.0,43.0,Health Care Equipment & Ser...
1,VERY HIGH HUMAN DEVELOPMENT,2012,0.0,1.0,35.0,36.0,Health Care Equipment & Ser...
2,VERY HIGH HUMAN DEVELOPMENT,2013,0.0,0.0,16.0,16.0,Health Care Equipment & Ser...
3,VERY HIGH HUMAN DEVELOPMENT,2014,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
4,VERY HIGH HUMAN DEVELOPMENT,2015,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
5,VERY HIGH HUMAN DEVELOPMENT,2016,0.0,1.0,50.0,51.0,Health Care Equipment & Ser...
6,VERY HIGH HUMAN DEVELOPMENT,2017,2.0,3.0,274.0,279.0,Health Care Equipment & Ser...
7,VERY HIGH HUMAN DEVELOPMENT,2018,3.0,3.0,287.0,293.0,Health Care Equipment & Ser...
8,VERY HIGH HUMAN DEVELOPMENT,2019,4.0,10.0,487.0,501.0,Health Care Equipment & Ser...
9,VERY HIGH HUMAN DEVELOPMENT,2020,8.0,6.0,173.0,187.0,Health Care Equipment & Ser...
10,VERY HIGH HUMAN DEVELOPMENT,2021,7.0,7.0,484.0,498.0,Health Care Equipment & Ser...
