,Year,HDI,Climate,Health,Intersection
0,2011,VERY HIGH HUMAN DEVELOPMENT,0.59,0.95,0.09
1,2012,VERY HIGH HUMAN DEVELOPMENT,0.56,0.88,0.12
2,2013,VERY HIGH HUMAN DEVELOPMENT,0.49,0.89,0.11
3,2014,VERY HIGH HUMAN DEVELOPMENT,0.57,0.84,0.1
4,2015,VERY HIGH HUMAN DEVELOPMENT,0.71,0.94,0.16
5,2016,VERY HIGH HUMAN DEVELOPMENT,0.61,0.87,0.12
6,2017,VERY HIGH HUMAN DEVELOPMENT,0.62,0.84,0.11
7,2018,VERY HIGH HUMAN DEVELOPMENT,0.52,0.83,0.13
8,2019,VERY HIGH HUMAN DEVELOPMENT,0.64,0.89,0.15
9,2020,VERY HIGH HUMAN DEVELOPMENT,0.6,0.81,0.27
10,2021,VERY HIGH HUMAN DEVELOPMENT,0.65,0.88,0.3
