,Sector,intersection,climate,health
0,Banks,16.0,347.0,782.0
1,Beverages,16.0,417.0,1229.0
2,Chemicals,1.0,24.0,135.0
3,Construction & Materials,25.0,230.0,691.0
4,Diversified,4.0,25.0,90.0
5,Electricity,155.0,1357.0,2344.0
6,Electronic & Electrical Equ...,1.0,18.0,29.0
7,Financial Services,17.0,314.0,1147.0
8,Fixed Line Telecommunications,5.0,231.0,249.0
9,Food & Drug Retailers,10.0,36.0,226.0
10,Food Producers,26.0,226.0,1286.0
11,Forestry & Paper,7.0,338.0,494.0
12,"Gas, Water & Multiutilities",15.0,155.0,920.0
13,General Industrials,14.0,158.0,515.0
14,General Retailers,14.0,441.0,728.0
15,Health Care Equipment & Ser...,12.0,22.0,1901.0
16,Industrial Metals & Mining,37.0,348.0,474.0
17,Industrial Transportation,16.0,174.0,298.0
18,Media,0.0,0.0,0.0
19,Mining,73.0,454.0,1193.0
20,Nonlife Insurance,0.0,4.0,204.0
21,Not Applicable,0.0,8.0,186.0
22,Personal Goods,2.0,34.0,51.0
23,Pharmaceuticals & Biotechno...,5.0,58.0,439.0
24,Real Estate Investment & Se...,5.0,139.0,289.0
25,Software & Computer Services,0.0,10.0,146.0
26,Support Services,77.0,770.0,1641.0
27,Technology Hardware & Equip...,0.0,0.0,1.0
28,Travel & Leisure,2.0,68.0,40.0
