,Year,HDI,Climate,Health,Intersection
0,2011,VERY HIGH HUMAN DEVELOPMENT,0.89,1.0,0.56
1,2012,VERY HIGH HUMAN DEVELOPMENT,0.76,0.86,0.48
2,2013,VERY HIGH HUMAN DEVELOPMENT,0.86,0.91,0.36
3,2014,VERY HIGH HUMAN DEVELOPMENT,0.77,0.91,0.18
4,2015,VERY HIGH HUMAN DEVELOPMENT,0.75,0.96,0.14
5,2016,VERY HIGH HUMAN DEVELOPMENT,0.56,0.85,0.15
6,2017,VERY HIGH HUMAN DEVELOPMENT,0.75,0.84,0.25
7,2018,VERY HIGH HUMAN DEVELOPMENT,0.73,0.83,0.23
8,2019,VERY HIGH HUMAN DEVELOPMENT,0.83,0.89,0.49
9,2020,VERY HIGH HUMAN DEVELOPMENT,0.92,1.0,0.54
10,2021,VERY HIGH HUMAN DEVELOPMENT,0.88,0.93,0.68
