,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.75,0.98,0.19
1,2012,HIGH HUMAN DEVELOPMENT,0.73,0.94,0.16
2,2013,HIGH HUMAN DEVELOPMENT,0.59,0.9,0.1
3,2014,HIGH HUMAN DEVELOPMENT,0.69,0.92,0.16
4,2015,HIGH HUMAN DEVELOPMENT,0.57,0.95,0.07
5,2016,HIGH HUMAN DEVELOPMENT,0.62,0.88,0.12
6,2017,HIGH HUMAN DEVELOPMENT,0.52,0.87,0.18
7,2018,HIGH HUMAN DEVELOPMENT,0.55,0.84,0.19
8,2019,HIGH HUMAN DEVELOPMENT,0.63,0.85,0.19
9,2020,HIGH HUMAN DEVELOPMENT,0.72,0.88,0.24
10,2021,HIGH HUMAN DEVELOPMENT,0.7,0.9,0.4
