,Sector,intersection,health,climate
0,Alternative Energy,2.0,136.0,17.0
1,Automobiles & Parts,0.0,7.0,1.0
2,Banks,0.0,65.0,3.0
3,Beverages,1.0,99.0,16.0
4,Chemicals,0.0,16.67,1.67
5,Construction & Materials,1.0,38.12,13.25
6,Diversified,1.54,24.46,5.08
7,Electricity,4.11,180.0,30.78
8,Electronic & Electrical Equ...,1.0,34.5,5.5
9,Equity Investment Instruments,2.0,20.0,6.0
10,Financial Services,0.29,46.43,8.71
11,Fixed Line Telecommunications,2.0,70.67,14.0
12,Food Producers,2.29,86.86,7.43
13,Forestry & Paper,0.0,15.0,10.0
14,"Gas, Water & Multiutilities",1.83,82.67,9.5
15,General Industrials,0.62,42.69,3.69
16,General Retailers,1.5,27.75,3.5
17,Health Care Equipment & Ser...,0.33,126.0,4.33
18,Industrial Engineering,0.0,12.5,3.5
19,Industrial Transportation,1.38,68.12,11.38
20,Life Insurance,4.0,42.0,15.0
21,Media,0.0,0.0,0.0
22,Mining,1.0,95.0,12.0
23,Nonlife Insurance,1.5,43.5,3.0
24,Not Applicable,0.0,0.0,0.0
25,Oil & Gas Producers,1.33,64.5,10.5
26,"Oil Equipment, Services & D...",1.27,46.82,8.55
27,Pharmaceuticals & Biotechno...,1.2,41.0,1.4
28,Real Estate Investment & Se...,0.0,4.0,0.0
29,Software & Computer Services,0.5,31.67,2.33
30,Support Services,0.75,23.25,2.96
31,Travel & Leisure,0.5,67.0,4.5
