,HDI,Year,intersection,climate,health,sum
0,HIGH HUMAN DEVELOPMENT,2011,17.0,423.0,2041.0,2481.0
1,HIGH HUMAN DEVELOPMENT,2012,29.0,593.0,3601.0,4223.0
2,HIGH HUMAN DEVELOPMENT,2013,42.0,911.0,5614.0,6567.0
3,HIGH HUMAN DEVELOPMENT,2014,58.0,789.0,4221.0,5068.0
4,HIGH HUMAN DEVELOPMENT,2015,13.0,449.0,2734.0,3196.0
5,HIGH HUMAN DEVELOPMENT,2016,32.0,495.0,2582.0,3109.0
6,HIGH HUMAN DEVELOPMENT,2017,55.0,579.0,3187.0,3821.0
7,HIGH HUMAN DEVELOPMENT,2018,61.0,661.0,3793.0,4515.0
8,HIGH HUMAN DEVELOPMENT,2019,41.0,619.0,2847.0,3507.0
9,HIGH HUMAN DEVELOPMENT,2020,54.0,706.0,3230.0,3990.0
10,HIGH HUMAN DEVELOPMENT,2021,193.0,1212.0,8319.0,9724.0
