,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.5,2021
1,Automobiles & Parts,0.67,0.67,0.0,2021
2,Banks,0.81,0.94,0.0,2021
3,Beverages,0.76,0.88,0.41,2021
4,Chemicals,0.67,0.92,0.14,2021
5,Construction & Materials,0.57,0.91,0.15,2021
6,Diversified,0.64,0.89,0.21,2021
7,Electricity,0.84,0.92,0.3,2021
8,Electronic & Electrical Equ...,0.95,1.0,0.53,2021
9,Equity Investment Instruments,1.0,1.0,1.0,2021
10,Financial Services,0.67,0.9,0.2,2021
11,Fixed Line Telecommunications,0.88,0.96,0.42,2021
12,Food & Drug Retailers,0.0,1.0,0.0,2021
13,Food Producers,0.64,0.92,0.12,2021
14,Forestry & Paper,0.88,1.0,0.38,2021
15,"Gas, Water & Multiutilities",0.69,0.87,0.13,2021
16,General Industrials,0.64,0.9,0.14,2021
17,General Retailers,0.38,0.81,0.1,2021
18,Health Care Equipment & Ser...,0.81,0.92,0.31,2021
19,Industrial Engineering,0.43,1.0,0.14,2021
20,Industrial Metals & Mining,1.0,1.0,0.75,2021
21,Industrial Transportation,0.46,0.89,0.14,2021
22,Life Insurance,0.4,0.8,0.2,2021
23,Media,0.24,0.82,0.0,2021
24,Mining,0.94,1.0,0.69,2021
25,Mobile Telecommunications,1.0,1.0,0.0,2021
26,Nonlife Insurance,0.9,1.0,0.3,2021
27,Not Applicable,0.64,0.85,0.07,2021
28,Oil & Gas Producers,0.72,0.88,0.25,2021
29,"Oil Equipment, Services & D...",0.6,0.92,0.18,2021
30,Personal Goods,0.6,1.0,0.1,2021
31,Pharmaceuticals & Biotechno...,0.45,0.9,0.24,2021
32,Real Estate Investment & Se...,0.5,0.75,0.0,2021
33,Software & Computer Services,0.71,0.93,0.17,2021
34,Support Services,0.4,0.83,0.1,2021
35,Technology Hardware & Equip...,1.0,1.0,0.0,2021
36,Travel & Leisure,0.83,1.0,0.09,2021
