,Year,HDI,Climate,Health,Intersection
0,2011,VERY HIGH HUMAN DEVELOPMENT,0.4,1.0,0.0
1,2012,VERY HIGH HUMAN DEVELOPMENT,0.46,0.92,0.0
2,2013,VERY HIGH HUMAN DEVELOPMENT,0.5,0.86,0.0
3,2014,VERY HIGH HUMAN DEVELOPMENT,0.75,0.88,0.12
4,2015,VERY HIGH HUMAN DEVELOPMENT,0.4,0.8,0.0
5,2016,VERY HIGH HUMAN DEVELOPMENT,0.43,0.93,0.07
6,2017,VERY HIGH HUMAN DEVELOPMENT,0.55,0.82,0.0
7,2018,VERY HIGH HUMAN DEVELOPMENT,0.56,0.89,0.22
8,2019,VERY HIGH HUMAN DEVELOPMENT,0.67,1.0,0.33
9,2020,VERY HIGH HUMAN DEVELOPMENT,1.0,1.0,0.0
10,2021,VERY HIGH HUMAN DEVELOPMENT,0.67,1.0,0.33
